,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
0,0,0,0,0,0,422304,790532470370340864,746776023262465920,neutral,remain,2016-10-24T12:36:42.000Z,"I thought it was fishy. I thought it was bad.Just makes me realise the left are so sad.
#BrexitForever
#Brexit
#LoveUK https://t.co/UegagLIWF0","['brexitforever', 'loveuk', 'brexit']"
63,63,63,63,63,63,747081,1005059220457259008,974019358900084736,neutral,other,2018-06-08T12:09:25.000Z,"@veeined @mikegalsworthy What, in rehab clinics? #Brexit #Brexitforever","['brexitforever', 'brexit']"
64,64,64,64,64,64,2136516,1019365829920600064,974019358900084736,negative,other,2018-07-17T23:38:47.000Z,"@thatginamiller @NewStatesman The problem you have, Gina, is that we’ve heard all the doomsday nonsense from Federalists before and it always gets found out and proven wrong. No one will believe your scare stories, so don’t waste your time. #Brexit #Brexitforever","['brexitforever', 'brexit']"
65,65,65,65,65,65,938328,1007034399710482432,974019358900084736,positive,other,2018-06-13T22:58:05.000Z,@ajmpolite Sounds like betrayal to me. Best press on and implement to decision taken in the referendum. #Brexit #Brexitforever,"['brexitforever', 'brexit']"
66,66,66,66,66,66,1153392,1009601404930023424,974019358900084736,neutral,remain,2018-06-21T00:58:27.000Z,@Porgie78 @courty1793 @LaylaMoran No deal is the BEST outcome for the UK as we’ll no longer be distorting natural trade patterns. We will start the process of weaning ourselves off Europe and re-engaging with the rest of the world #Brexit #Brexitforever,"['brexitforever', 'brexit']"
67,67,67,67,67,67,2486583,1022809155525111808,974019358900084736,negative,leave,2018-07-27T11:41:20.000Z,@mvanhulten Time to leave with NO DEAL. #Brexit #Brexitforever,"['brexitforever', 'brexit']"
68,68,68,68,68,68,2466308,1022611252844154880,974019358900084736,positive,other,2018-07-26T22:34:56.000Z,@brianbloop @ruckspin We can but pray #Brexit #Brexitforever,"['brexitforever', 'brexit']"
69,69,69,69,69,69,3066628,1030547604428472320,974019358900084736,neutral,other,2018-08-17T20:11:10.000Z,@OFOCBrexit And what’s wrong with liking a nation state more than a European Superstate? #Brexit #Brexitforever,"['brexitforever', 'brexit']"
70,70,70,70,70,70,1143016,1009473673554747392,974019358900084736,negative,leave,2018-06-20T16:30:53.000Z,@OwenJones84 How can you accuse anyone else of being in the gutter when you work with foreign powers to undermine a democratic vote by the British People?! #Brexit #Brexitforever,"['brexitforever', 'brexit']"
71,71,71,71,71,71,2962030,1028957590036918272,974019358900084736,positive,remain,2018-08-13T10:53:01.000Z,"@DavidLammy Some people like stronger tea than other people, so it makes sense to leave the tea bags in and let the drinker decide. It’s called ‘diversity’. #Brexit #Brexitforever","['brexitforever', 'brexit']"
72,72,72,72,72,72,1062232,1008617198754156544,974019358900084736,neutral,leave,2018-06-18T07:47:34.000Z,@johnrallan @ChukaUmunna Delusional is not the word #Brexit #Brexitforever,"['brexitforever', 'brexit']"
