,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,t_id,user_id,t_sentiment,t_stance,t_date,t_text,hashtags
158,158,158,2558767,1023694031480598528,42679913,negative,other,2018-07-29T22:17:31.000Z,"@GeorgeAylett Pretty soon they'll pass a law against ""dangerous talk"" so that critics of a hard Brexitcan be charged with ""spreading gloom and despondencey"" about Brexit. Rekindle the Blitz spirit so we can all enjoy Brexit properly! #ToryBrexitShambles",['torybrexitshambles']
159,159,159,4486542,1046459424309686272,392546979,positive,leave,2018-09-30T17:59:03.000Z,"'I do believe in Brexit,' says Theresa May

You may believe in Brexit ⁦@theresa_may⁩ but by the same process you clearly don’t believe in the UK or today’s and future generations.
#ToryBrexitShambles
 https://t.co/PimnzgzRPx",['torybrexitshambles']
160,160,160,734121,1004983465278935040,66079622,negative,remain,2018-06-08T07:08:24.000Z,Listening to only occasional news bulletins whilst camping in rural Norfolk - the omnishambles from the tories over Brexit ( well over everything) really shocks #ToryBrexitShambles,['torybrexitshambles']
161,161,161,1266392,1010578783152336896,42679913,negative,remain,2018-06-23T17:42:12.000Z,@Jack_Slater @patrickseurre Visiting Palestinians - you might remember there was a bit of a fuss all over the world about them recently. He hasn't forgotten - and Labour's Brexit policy isn't made by the leader but by the party. This Brexit rock has Tory written right through it. #ToryBrexitShambles,['torybrexitshambles']
162,162,162,2410664,1022160076843438080,42679913,negative,other,2018-07-25T16:42:07.000Z,@brexit_sham I've noticed a tendency for Brexiteers to show considerable contempt for our Irish neighbours. Some seem even to think Eire is still part of the UK (or should be). Is there a logical explanation for this? #ToryBrexitShambles,['torybrexitshambles']
163,163,163,4810988,1050424005050679296,42679913,positive,remain,2018-10-11T16:32:53.000Z,@jannylis1 @brexit_sham That's right Andy - you show solidarity w Darren Grimes. Good to see you standing by him. Good grief - these idiots can't even support one another. Hope YOUR friends don't desert YOU when the brown stuff hits the fan for YOU. Got that mitigation plea prepared? #ToryBrexitShambles,['torybrexitshambles']
164,164,164,1696237,1015673102498521088,31252613,negative,leave,2018-07-07T19:05:12.000Z,"Yep ‘worst of all worlds Black Hole Brexit’ sounds about right

If this is how the only people left standing who still actually want it describe Brexit surely it’s time to call the whole thing off

#torybrexitshambles https://t.co/4LZOI6Ltyk",['torybrexitshambles']
165,165,165,2932729,1028404021097361408,42679913,negative,other,2018-08-11T22:13:20.000Z,"@Hepworthclare The Tory party has been ""torn apart"" for YEARS, Brexit is merely a symptom (but a very painful one). If we DO leave the EU they'll carry on fighting over something else. Far right English nationalist free market ideologues versus old style Tories. #ToryBrexitShambles",['torybrexitshambles']
166,166,166,2407652,1022138669308825600,42679913,positive,leave,2018-07-25T15:17:03.000Z,"https://t.co/FoSveRCM19 Next time you talk to someone who favours a ""hard Brexit"", get them to watch this video and then ask them why any sane nation would do this. #ToryBrexitShambles",['torybrexitshambles']
167,167,167,881534,1006563689141501952,2175936243,neutral,other,2018-06-12T15:47:39.000Z,"@Conservatives After today in parliament I don't think @Conservatives are in any position to lecture anybody on Brexit.
#ToryBrexitShambles",['torybrexitshambles']
